species,date,confidence,alert_count,area_ha
pongo_pygmaeus,2025-12-31,nominal,226,2.7813
pongo_pygmaeus,2025-12-31,highest,6999,86.1219
pongo_pygmaeus,2025-12-31,high,38299,471.3076
pongo_pygmaeus,2026-01-02,high,976,12.0019
pongo_pygmaeus,2026-01-02,highest,115,1.4146
pongo_pygmaeus,2026-01-02,nominal,6,0.0738
pongo_pygmaeus,2026-01-03,high,97,1.1936
pongo_pygmaeus,2026-01-03,highest,268,3.2982
pongo_pygmaeus,2026-01-05,high,73332,902.38
pongo_pygmaeus,2026-01-05,highest,8669,106.6573
pongo_pygmaeus,2026-01-05,nominal,523,6.4359
pongo_pygmaeus,2026-01-06,nominal,5567,68.5225
pongo_pygmaeus,2026-01-06,highest,33,0.4058
pongo_pygmaeus,2026-01-06,high,290,3.5696
pongo_pygmaeus,2026-01-07,high,32495,399.1685
pongo_pygmaeus,2026-01-07,highest,6530,80.3123
pongo_pygmaeus,2026-01-07,nominal,395,4.852
pongo_pygmaeus,2026-01-10,high,2411,29.6726
pongo_pygmaeus,2026-01-10,highest,353,4.3436
pongo_pygmaeus,2026-01-10,nominal,31,0.3815
pongo_pygmaeus,2026-01-12,high,57841,711.8174
pongo_pygmaeus,2026-01-12,highest,13450,165.5111
pongo_pygmaeus,2026-01-12,nominal,390,4.7996
pongo_pygmaeus,2026-01-13,nominal,3119,38.3761
pongo_pygmaeus,2026-01-13,high,7710,94.8696
pongo_pygmaeus,2026-01-13,highest,730,8.9849
pongo_pygmaeus,2026-01-14,high,4953,60.9244
pongo_pygmaeus,2026-01-14,highest,2093,25.7517
pongo_pygmaeus,2026-01-14,nominal,7576,93.2445
pongo_pygmaeus,2026-01-15,high,52595,645.0372
pongo_pygmaeus,2026-01-15,highest,3083,37.837
pongo_pygmaeus,2026-01-15,nominal,4380,53.7503
pongo_pygmaeus,2026-01-16,nominal,1175,14.4237
pongo_pygmaeus,2026-01-16,highest,112,1.3746
pongo_pygmaeus,2026-01-16,high,2929,35.9387
pongo_pygmaeus,2026-01-17,high,86332,1062.377
pongo_pygmaeus,2026-01-17,highest,29498,362.9612
pongo_pygmaeus,2026-01-17,nominal,456,5.6114
pongo_pygmaeus,2026-01-19,high,28311,347.9018
pongo_pygmaeus,2026-01-19,highest,7487,92.0866
pongo_pygmaeus,2026-01-19,nominal,597,7.3419
pongo_pygmaeus,2026-01-20,nominal,28,0.3446
pongo_pygmaeus,2026-01-21,nominal,509,6.2628
pongo_pygmaeus,2026-01-21,highest,4,0.0492
pongo_pygmaeus,2026-01-22,highest,1257,15.4681
pongo_pygmaeus,2026-01-22,nominal,1091,13.411
pongo_pygmaeus,2026-01-22,high,4282,52.6777
pongo_pygmaeus,2026-01-23,nominal,11113,136.3137
pongo_pygmaeus,2026-01-23,high,34906,428.0811
pongo_pygmaeus,2026-01-23,highest,2859,35.0831
pongo_pygmaeus,2026-01-24,high,85306,1049.8134
pongo_pygmaeus,2026-01-24,highest,21722,267.2993
pongo_pygmaeus,2026-01-24,nominal,561,6.9044
pongo_pygmaeus,2026-01-26,high,1403,17.2503
pongo_pygmaeus,2026-01-26,highest,601,7.3948
